,EN,DE,,,,
46,http://en.wikipedia.org/wiki/Home_Depot,http://de.wikipedia.org/wiki/The_Home_Depot,HD,Home Depot,Baustoffhandel,
47,,http://de.wikipedia.org/wiki/H._J._Heinz_Company,HNZ,H. J. Heinz Company,Nahrungsmittel,
48,http://en.wikipedia.org/wiki/Honeywell,http://de.wikipedia.org/wiki/Honeywell_International,HON,Honeywell International,Mischkonzerne,
49,http://en.wikipedia.org/wiki/Hewlett-Packard,http://de.wikipedia.org/wiki/Hewlett-Packard,HPQ,Hewlett-Packard,Hardwarehersteller,
50,http://en.wikipedia.org/wiki/IBM,http://de.wikipedia.org/wiki/IBM,IBM,IBM,Informationstechnik,
51,http://en.wikipedia.org/wiki/Intel,http://de.wikipedia.org/wiki/Intel,INTC,Intel,Mikroelektronik,
52,http://en.wikipedia.org/wiki/Johnson_%26_Johnson,http://de.wikipedia.org/wiki/Johnson_%26_Johnson,JNJ,Johnson & Johnson,"Pharma, Konsumgüter",
53,http://en.wikipedia.org/wiki/JPMorgan_Chase_%26_Co,http://de.wikipedia.org/wiki/JPMorgan_Chase_%26_Co.,JPM,JPMorgan Chase & Co.,Banken,
54,,http://de.wikipedia.org/wiki/Kraft_Foods,KFT,Kraft Foods,Nahrungsmittel,
55,http://en.wikipedia.org/wiki/Coca-Cola,http://de.wikipedia.org/wiki/The_Coca-Cola_Company,KO,Coca-Cola Company,Getränkehersteller,
56,http://en.wikipedia.org/wiki/Eli_Lilly_and_Company,http://de.wikipedia.org/wiki/Eli_Lilly_and_Company,LLY,Lilly Eli & Co.,Pharma,
57,http://en.wikipedia.org/wiki/Lockheed-Martin,http://de.wikipedia.org/wiki/Lockheed_Martin,LMT,Lockheed Martin,Luft- und Raumfahrt,
58,http://en.wikipedia.org/wiki/Lowe%27s,http://de.wikipedia.org/wiki/Lowe%E2%80%99s,LOW,Lowe’s,Einzelhandel,
59,http://en.wikipedia.org/wiki/Mastercard,http://de.wikipedia.org/wiki/MasterCard,MA,MasterCard,Finanzdienstleister,
60,http://en.wikipedia.org/wiki/McDonald%27s,http://de.wikipedia.org/wiki/McDonald%E2%80%99s,MCD,McDonald’s,Schnellgastronomie,
61,http://en.wikipedia.org/wiki/Medtronic,http://de.wikipedia.org/wiki/Medtronic,MDT,Medtronic,Medizintechnik,
62,http://en.wikipedia.org/wiki/Metlife,http://de.wikipedia.org/wiki/Metropolitan_Life_Insurance_Company,MET,Metropolitan Life Insurance Company,Versicherungen,
63,http://en.wikipedia.org/wiki/3M,http://de.wikipedia.org/wiki/3M,MMM,3M,Mischkonzerne,
64,http://en.wikipedia.org/wiki/Altria,http://de.wikipedia.org/wiki/Altria_Group,MO,Altria Group,Tabakwaren,
65,http://en.wikipedia.org/wiki/Monsanto,http://de.wikipedia.org/wiki/Monsanto,MON,Monsanto,Chemie und Saatgut,
66,http://en.wikipedia.org/wiki/Merck_%26_Co.,http://de.wikipedia.org/wiki/MSD_Sharp_%26_Dohme,MRK,Merck & Co.,Pharma,
67,http://en.wikipedia.org/wiki/Morgan_Stanley,http://de.wikipedia.org/wiki/Morgan_Stanley,MS,Morgan Stanley,Banken,
68,http://en.wikipedia.org/wiki/Microsoft,http://de.wikipedia.org/wiki/Microsoft,MSFT,Microsoft,Softwarehersteller,
69,http://en.wikipedia.org/wiki/Nike_(company),http://de.wikipedia.org/wiki/Nike_(Unternehmen),NKE,Nike,Sportartikel,
70,http://en.wikipedia.org/wiki/National_Oilwell_Varco,http://de.wikipedia.org/wiki/National_Oilwell_Varco,NOV,National Oilwell Varco,Öl und Gas,
71,http://en.wikipedia.org/wiki/Norfolk_Southern_Corp.,http://de.wikipedia.org/wiki/Norfolk_Southern_Railway_(1990),NSC,Norfolk Southern Railway,Bahngesellschaften,
72,http://en.wikipedia.org/wiki/News_corp,http://de.wikipedia.org/wiki/News_Corporation,NWSA,News Corporation,Medien,
73,http://en.wikipedia.org/wiki/Oracle_Corporation,http://de.wikipedia.org/wiki/Oracle,ORCL,Oracle,Softwarehersteller,
74,http://en.wikipedia.org/wiki/Occidental_Petroleum,http://de.wikipedia.org/wiki/Occidental_Petroleum,OXY,Occidental Petroleum,Öl und Gas,
75,http://en.wikipedia.org/wiki/Pepsico,http://de.wikipedia.org/wiki/PepsiCo,PEP,PepsiCo,Getränkehersteller,
76,http://en.wikipedia.org/wiki/Pfizer_Inc,http://de.wikipedia.org/wiki/Pfizer,PFE,Pfizer,Pharma,
77,http://en.wikipedia.org/wiki/Procter_%26_Gamble,http://de.wikipedia.org/wiki/Procter_%26_Gamble,PG,Procter & Gamble,Konsumgüter,
78,http://en.wikipedia.org/wiki/Phillip_Morris_International,http://de.wikipedia.org/wiki/Philip_Morris_International,PM,Philip Morris International,Tabakwaren,
79,http://en.wikipedia.org/wiki/Qualcomm,http://de.wikipedia.org/wiki/Qualcomm,QCOM,Qualcomm,Telekommunikation,
80,http://en.wikipedia.org/wiki/Raytheon,http://de.wikipedia.org/wiki/Raytheon,RTN,Raytheon,Rüstungshersteller,
81,http://en.wikipedia.org/wiki/Starbucks,http://de.wikipedia.org/wiki/Starbucks,SBUX,Starbucks,Systemgastronomie,
82,http://en.wikipedia.org/wiki/Schlumberger,http://de.wikipedia.org/wiki/Schlumberger_(Unternehmen),SLB,Schlumberger,Öl und Gas,
83,http://en.wikipedia.org/wiki/Southern_Company,http://de.wikipedia.org/wiki/Southern_Company,SO,Southern Company,Versorger,
84,http://en.wikipedia.org/wiki/Simon_Property_Group,http://de.wikipedia.org/wiki/Simon_Property,SPG,Simon Property,Immobilienwirtschaft,
85,http://en.wikipedia.org/wiki/AT%26T,http://de.wikipedia.org/wiki/AT%26T,T,AT&T,Telekommunikation,
86,http://en.wikipedia.org/wiki/Target_Corporation,http://de.wikipedia.org/wiki/Target_Corporation,TGT,Target Corporation,Einzelhandel,
87,http://en.wikipedia.org/wiki/Time_Warner,http://de.wikipedia.org/wiki/Time_Warner,TWX,Time Warner,"Medien, Unterhaltung",
88,http://en.wikipedia.org/wiki/Texas_Instruments,http://de.wikipedia.org/wiki/Texas_Instruments,TXN,Texas Instruments,Elektronikhersteller,
89,http://en.wikipedia.org/wiki/UnitedHealth_Group,http://de.wikipedia.org/wiki/UnitedHealth,UNH,UnitedHealth,Versicherungen,
90,http://en.wikipedia.org/wiki/Union_Pacific#Union_Pacific_Corporation,http://de.wikipedia.org/wiki/Union_Pacific_Railroad,UNP,Union Pacific Railroad,Eisenbahngesellschaft,
91,http://en.wikipedia.org/wiki/United_Parcel_Service,http://de.wikipedia.org/wiki/United_Parcel_Service,UPS,United Parcel Service,Logistik,
92,http://en.wikipedia.org/wiki/U.S._Bancorp,http://de.wikipedia.org/wiki/U.S._Bancorp,USB,U.S. Bancorp,Banken,
93,http://en.wikipedia.org/wiki/United_Technologies_Corporation,http://de.wikipedia.org/wiki/United_Technologies_Corporation,UTX,United Technologies Corporation,Technologie,
94,http://en.wikipedia.org/wiki/Visa_Inc.,http://de.wikipedia.org/wiki/Visa_International_Service_Association,V,Visa,Finanzdienstleistungen,
95,http://en.wikipedia.org/wiki/Verizon_Communications,http://de.wikipedia.org/wiki/Verizon_Communications,VZ,Verizon Communications,Telekommunikation,
96,http://en.wikipedia.org/wiki/Walgreens,http://de.wikipedia.org/wiki/Walgreens,WAG,Walgreens,Einzelhandel,
97,http://en.wikipedia.org/wiki/Wells_Fargo,http://de.wikipedia.org/wiki/Wells_Fargo,WFC,Wells Fargo,Banken,
98,http://en.wikipedia.org/wiki/Williams_Companies,http://de.wikipedia.org/wiki/Williams_Companies,WMB,Williams Companies,Öl und Gas,
99,http://en.wikipedia.org/wiki/Wal-Mart,http://de.wikipedia.org/wiki/Walmart,WMT,Walmart,Einzelhandel,
100,http://en.wikipedia.org/wiki/ExxonMobil,http://de.wikipedia.org/wiki/ExxonMobil,XOM,ExxonMobil,Öl und Gas,
101,http://en.wikipedia.org/wiki/American_International_Group_Inc.,http://de.wikipedia.org/wiki/American_International_Group,AIG,American International Group,,
102,http://en.wikipedia.org/wiki/General_Motors,http://de.wikipedia.org/wiki/General_Motors,GM,General Motors,,
103,http://en.wikipedia.org/wiki/Mondel%C4%93z_International,http://de.wikipedia.org/wiki/Mondel%C4%93z_International,MDLZ,Mondelēz International,,
